,tag,year,nodes,application,problem_size,metric,value
0,patch_31May2019,2019,1,lammps,2x2x2,wall_time,16.0
1,patch_31May2019,2019,1,lammps,2x2x2,ranks,1
2,patch_31May2019,2019,1,lammps,2x2x2,cpu_utilization,99.6
3,patch_21Jul2020,2020,1,lammps,2x2x2,wall_time,15.0
4,patch_21Jul2020,2020,1,lammps,2x2x2,ranks,1
5,patch_21Jul2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
6,patch_15Jun2020,2020,1,lammps,2x2x2,wall_time,16.0
7,patch_15Jun2020,2020,1,lammps,2x2x2,ranks,1
8,patch_15Jun2020,2020,1,lammps,2x2x2,cpu_utilization,99.4
9,patch_2Aug2023,2023,1,lammps,2x2x2,wall_time,15.0
10,patch_2Aug2023,2023,1,lammps,2x2x2,ranks,1
11,patch_2Aug2023,2023,1,lammps,2x2x2,cpu_utilization,100.0
12,patch_19Mar2020,2020,1,lammps,2x2x2,wall_time,16.0
13,patch_19Mar2020,2020,1,lammps,2x2x2,ranks,1
14,patch_19Mar2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
15,patch_29Oct2020,2020,1,lammps,2x2x2,wall_time,15.0
16,patch_29Oct2020,2020,1,lammps,2x2x2,ranks,1
17,patch_29Oct2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
18,stable_29Sep2021_update3,2021,1,lammps,2x2x2,wall_time,15.0
19,stable_29Sep2021_update3,2021,1,lammps,2x2x2,ranks,1
20,stable_29Sep2021_update3,2021,1,lammps,2x2x2,cpu_utilization,99.9
21,patch_9Oct2020,2020,1,lammps,2x2x2,wall_time,15.0
22,patch_9Oct2020,2020,1,lammps,2x2x2,ranks,1
23,patch_9Oct2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
24,patch_28Mar2023_update1,2023,1,lammps,2x2x2,wall_time,15.0
25,patch_28Mar2023_update1,2023,1,lammps,2x2x2,ranks,1
26,patch_28Mar2023_update1,2023,1,lammps,2x2x2,cpu_utilization,99.9
27,patch_15Apr2020,2020,1,lammps,2x2x2,wall_time,15.0
28,patch_15Apr2020,2020,1,lammps,2x2x2,ranks,1
29,patch_15Apr2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
30,patch_27May2021,2021,1,lammps,2x2x2,wall_time,15.0
31,patch_27May2021,2021,1,lammps,2x2x2,ranks,1
32,patch_27May2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
33,stable_5Jun2019,2019,1,lammps,2x2x2,wall_time,16.0
34,stable_5Jun2019,2019,1,lammps,2x2x2,ranks,1
35,stable_5Jun2019,2019,1,lammps,2x2x2,cpu_utilization,100.0
36,patch_23Jun2022,2022,1,lammps,2x2x2,wall_time,16.0
37,patch_23Jun2022,2022,1,lammps,2x2x2,ranks,1
38,patch_23Jun2022,2022,1,lammps,2x2x2,cpu_utilization,99.9
39,patch_8Apr2021,2021,1,lammps,2x2x2,wall_time,15.0
40,patch_8Apr2021,2021,1,lammps,2x2x2,ranks,1
41,patch_8Apr2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
42,stable_23Jun2022,2022,1,lammps,2x2x2,wall_time,15.0
43,stable_23Jun2022,2022,1,lammps,2x2x2,ranks,1
44,stable_23Jun2022,2022,1,lammps,2x2x2,cpu_utilization,100.0
45,patch_9Jan2020,2020,1,lammps,2x2x2,wall_time,16.0
46,patch_9Jan2020,2020,1,lammps,2x2x2,ranks,1
47,patch_9Jan2020,2020,1,lammps,2x2x2,cpu_utilization,99.8
48,patch_24Dec2020,2020,1,lammps,2x2x2,wall_time,15.0
49,patch_24Dec2020,2020,1,lammps,2x2x2,ranks,1
50,patch_24Dec2020,2020,1,lammps,2x2x2,cpu_utilization,100.0
51,patch_28Jul2021,2021,1,lammps,2x2x2,wall_time,15.0
52,patch_28Jul2021,2021,1,lammps,2x2x2,ranks,1
53,patch_28Jul2021,2021,1,lammps,2x2x2,cpu_utilization,99.9
54,stable_3Mar2020,2020,1,lammps,2x2x2,wall_time,16.0
55,stable_3Mar2020,2020,1,lammps,2x2x2,ranks,1
56,stable_3Mar2020,2020,1,lammps,2x2x2,cpu_utilization,99.7
57,stable_29Aug2024,2024,1,lammps,2x2x2,wall_time,16.0
58,stable_29Aug2024,2024,1,lammps,2x2x2,ranks,1
59,stable_29Aug2024,2024,1,lammps,2x2x2,cpu_utilization,99.9
60,patch_2Jun2022,2022,1,lammps,2x2x2,wall_time,15.0
61,patch_2Jun2022,2022,1,lammps,2x2x2,ranks,1
62,patch_2Jun2022,2022,1,lammps,2x2x2,cpu_utilization,99.8
63,stable_2Aug2023,2023,1,lammps,2x2x2,wall_time,16.0
64,stable_2Aug2023,2023,1,lammps,2x2x2,ranks,1
65,stable_2Aug2023,2023,1,lammps,2x2x2,cpu_utilization,100.0
66,stable_23Jun2022_update1,2022,1,lammps,2x2x2,wall_time,15.0
67,stable_23Jun2022_update1,2022,1,lammps,2x2x2,ranks,1
68,stable_23Jun2022_update1,2022,1,lammps,2x2x2,cpu_utilization,100.0
69,patch_21Aug2020,2020,1,lammps,2x2x2,wall_time,15.0
70,patch_21Aug2020,2020,1,lammps,2x2x2,ranks,1
71,patch_21Aug2020,2020,1,lammps,2x2x2,cpu_utilization,99.9
72,patch_20Nov2019,2019,1,lammps,2x2x2,wall_time,16.0
73,patch_20Nov2019,2019,1,lammps,2x2x2,ranks,1
74,patch_20Nov2019,2019,1,lammps,2x2x2,cpu_utilization,99.9
75,patch_30Nov2020,2020,1,lammps,2x2x2,wall_time,15.0
